product_id,barcode,product,brand,item,category,price_aed,unit_cost_aed,tax_rate,launch_flag
P0250,8272299275038,Philips Avent Diapers (1kg),Philips Avent,Diapers,Baby,15.51,12.48,0.05,Regular
P0251,8567700518447,Adidas Belt (250ml),Adidas,Belt,Fashion,17.44,10.98,0.05,Regular
P0252,8463865577902,TP-Link USB Cable (500g),TP-Link,USB Cable,Electronics,91.95,60.65,0.05,Regular
P0253,3222591365178,JBL Router (1L),JBL,Router,Electronics,140.16,86.76,0.05,Regular
P0254,302992280928,H&M Flip Flops (Pack of 6),H&M,Flip Flops,Fashion,38.91,28.3,0.05,Regular
P0255,9904137977239,Bayara Olive Oil (Pack of 6),Bayara,Olive Oil,Grocery,7.91,6.54,0.05,Regular
P0256,5799136621030,Pedigree Treats (1kg),Pedigree,Treats,Pet,11.36,8.37,0.05,Regular
P0257,8811729806864,Whiskas Treats,Whiskas,Treats,Pet,20.98,12.66,0.05,Regular
P0258,5991624731492,Mustela Diapers (Pack of 6),Mustela,Diapers,Baby,10.51,6.5,0.05,Regular
P0259,9818063565128,Royal Canin Pet Shampoo,Royal Canin,Pet Shampoo,Pet,15.73,8.68,0.05,Regular
P0260,9463688725886,Tidy Cats Pet Shampoo (Pack of 2),Tidy Cats,Pet Shampoo,Pet,17.66,14.24,0.05,Regular
P0261,2137213865893,Zara Wallet (Pack of 6),Zara,Wallet,Fashion,19.6,14.18,0.05,Regular
P0262,2796114351906,Carrefour Olive Oil (500g),Carrefour,Olive Oil,Grocery,13.19,11.07,0.05,New
P0263,7703843098830,Tidy Cats Leash (1kg),Tidy Cats,Leash,Pet,4.33,3.31,0.05,Regular
P0264,1465669380112,Xiaomi Earbuds (1kg),Xiaomi,Earbuds,Electronics,46.59,28.97,0.05,New
P0265,7690426818186,Scotch-Brite Cleaning Spray (250ml),Scotch-Brite,Cleaning Spray,Home,12.32,10.34,0.05,Regular
P0266,9476973577909,Clorox Cleaning Spray (Mini),Clorox,Cleaning Spray,Home,8.7,6.88,0.05,Regular
P0267,3565880434163,Zara Socks (250ml),Zara,Socks,Fashion,48.01,27.38,0.05,Regular
P0268,2373334333396,Johnson's Wipes (1L),Johnson's,Wipes,Baby,8.16,5.65,0.05,Regular
P0269,9080759579478,Huggies Baby Lotion (Large),Huggies,Baby Lotion,Baby,11.54,6.76,0.05,New
P0270,8678085627188,TP-Link Phone Case,TP-Link,Phone Case,Electronics,69.81,43.05,0.05,Regular
P0271,5594284347951,Nike Scarf (500g),Nike,Scarf,Fashion,44.9,24.85,0.05,Regular
P0272,5647292931435,Chicco Baby Lotion (Pack of 2),Chicco,Baby Lotion,Baby,8.15,5.52,0.05,Regular
P0273,7026728857446,Royal Canin Leash (1kg),Royal Canin,Leash,Pet,20.23,12.01,0.05,Regular
P0274,7175455884505,Al Ain Farms Spices (1L),Al Ain Farms,Spices,Grocery,13.51,10.23,0.05,New
P0275,9982455877165,Frontline Cat Food (250ml),Frontline,Cat Food,Pet,9.55,7.74,0.05,Regular
P0276,6996112535544,Finish Toilet Paper (Pack of 2),Finish,Toilet Paper,Home,15.83,12.83,0.05,Regular
P0277,9876220234133,Ariel Sponges (Pack of 2),Ariel,Sponges,Home,14.44,11.79,0.05,Regular
P0278,8006811492166,Belkin USB Cable (Large),Belkin,USB Cable,Electronics,54.05,31.28,0.05,Regular
P0279,2820055778482,Persil Trash Bags (1kg),Persil,Trash Bags,Home,13.8,10.64,0.05,Regular
P0280,8845783174560,Puma Cap (Pack of 6),Puma,Cap,Fashion,23.69,17.23,0.05,Regular
P0281,5478077406493,Ariel Paper Towels (1kg),Ariel,Paper Towels,Home,14.01,7.75,0.05,Regular
P0282,6326634163893,Dove Shampoo (Pack of 6),Dove,Shampoo,Beauty,16.98,10.3,0.05,Regular
P0283,2417974973502,Ariel Air Freshener (1kg),Ariel,Air Freshener,Home,23.46,15.81,0.05,Regular
P0284,2703120735644,Anker Earbuds (1L),Anker,Earbuds,Electronics,43.24,26.19,0.05,New
P0285,2046187234607,Crocs Scarf (500g),Crocs,Scarf,Fashion,57.2,43.42,0.05,New
P0286,3718376452084,PepsiCo Iced Tea,PepsiCo,Iced Tea,Beverages,6.8,5.31,0.05,Regular
P0287,3136502491637,Coca-Cola Sports Drink,Coca-Cola,Sports Drink,Beverages,12.77,9.47,0.05,Regular
P0288,5132719500528,Lulu Rice (1kg),Lulu,Rice,Grocery,16.54,12.98,0.05,Regular
P0289,7306524077843,Coca-Cola Energy Drink (Pack of 2),Coca-Cola,Energy Drink,Beverages,14.86,9.21,0.05,Regular
P0290,4982182744858,Puma Belt (Large),Puma,Belt,Fashion,21.8,15.55,0.05,Regular
P0291,9351863878291,Ray-Ban T-Shirt (Pack of 2),Ray-Ban,T-Shirt,Fashion,25.21,19.41,0.05,Regular
P0292,1022031731097,Febreze Cleaning Spray (Mini),Febreze,Cleaning Spray,Home,11.33,8.41,0.05,New
P0293,371705865097,Tidy Cats Flea Spray (500g),Tidy Cats,Flea Spray,Pet,10.95,6.18,0.05,Regular
P0294,8113863383929,Clorox Detergent (250ml),Clorox,Detergent,Home,18.13,14.51,0.05,New
P0295,1228685289759,Frontline Cat Food (Pack of 6),Frontline,Cat Food,Pet,15.26,11.48,0.05,Regular
P0296,9398368457767,Nestlé Bottle (Pack of 2),Nestlé,Bottle,Baby,10.56,7.11,0.05,Regular
P0297,433504888995,Bayara Rice (1L),Bayara,Rice,Grocery,18.45,13.45,0.05,Regular
P0298,5933441969313,Anker Power Bank (1L),Anker,Power Bank,Electronics,74.26,51.1,0.05,New
P0299,9409610556616,Johnson's Rash Cream (500g),Johnson's,Rash Cream,Baby,17.89,12.46,0.05,Regular
P0300,8925832067996,L'Oréal Shampoo (Pack of 2),L'Oréal,Shampoo,Beauty,16.78,9.5,0.05,Regular
